cgdppc,countrycode,rgdpnapc
24308,AUS,28628
25695,AUS,29602
26988,AUS,30436
27696,AUS,31240
27767,AUS,31200
26671,AUS,30426
28053,AUS,31024
28463,AUS,32020
29582,AUS,33180
30514,AUS,33908
31419,AUS,34850
32433,AUS,35853
33260,AUS,37235
34643,AUS,38311
36001,AUS,39200
36266,AUS,39673
37409,AUS,40792
37889,AUS,41544
39031,AUS,42711
41158,AUS,43501
41311,AUS,44001
42278,AUS,45145
43965,AUS,45260
42914,AUS,45247
45398,AUS,45684
46132,AUS,46132
44871,AUS,46999
44042,AUS,47250
43887,AUS,47867
44336,AUS,48357
44783,AUS,48845
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
1320,AUT,2112
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
1515,AUT,2425
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
1641,AUT,2626
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
1788,AUT,2861
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
1925,AUT,3082
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
,AUT,
2018,AUT,3229
2144,AUT,3431
2141,AUT,3427
2072,AUT,3317
2146,AUT,3435
2137,AUT,3421
2167,AUT,3468
2221,AUT,3555
2275,AUT,3642
2240,AUT,3585
2252,AUT,3604
2324,AUT,3719
2318,AUT,3710
2393,AUT,3830
2436,AUT,3898
2400,AUT,3841
2456,AUT,3932
2605,AUT,4169
2577,AUT,4125
2532,AUT,4052
2647,AUT,4236
2715,AUT,4345
2746,AUT,4395
2735,AUT,4378
2865,AUT,4585
2911,AUT,4660
2926,AUT,4683
2957,AUT,4734
3093,AUT,4951
3126,AUT,5004
3122,AUT,4997
3102,AUT,4965
3190,AUT,5107
3186,AUT,5099
3202,AUT,5125
3347,AUT,5357
3441,AUT,5507
3616,AUT,5788
3596,AUT,5756
3549,AUT,5680
3564,AUT,5705
3645,AUT,5835
3797,AUT,6077
3754,AUT,6009
3115,AUT,4986
2874,AUT,4600
2846,AUT,4556
2802,AUT,4484
2767,AUT,4430
2447,AUT,3917
2613,AUT,4183
2871,AUT,4595
3117,AUT,4989
3079,AUT,4928
3426,AUT,5484
3647,AUT,5838
3697,AUT,5918
3797,AUT,6078
3962,AUT,6341
4006,AUT,6413
3909,AUT,6217
3607,AUT,5700
3246,AUT,5097
3148,AUT,4912
3189,AUT,4944
3271,AUT,5040
3391,AUT,5192
3595,AUT,5471
4080,AUT,6172
4724,AUT,7102
4594,AUT,6865
4923,AUT,7312
4677,AUT,6906
4802,AUT,7047
4934,AUT,7199
2061,AUT,2990
2352,AUT,3392
2620,AUT,3756
3363,AUT,4793
4029,AUT,5710
4560,AUT,6426
4845,AUT,6865
5066,AUT,6878
5432,AUT,7173
5945,AUT,7897
6519,AUT,8762
7056,AUT,9357
7468,AUT,9911
7837,AUT,10241
8081,AUT,10492
8508,AUT,11302
9025,AUT,11837
9416,AUT,12049
9755,AUT,12460
10195,AUT,13120
10551,AUT,13410
11132,AUT,14065
11495,AUT,14385
12053,AUT,14947
12671,AUT,15832
13523,AUT,16900
14266,AUT,17685
15115,AUT,18674
15732,AUT,19479
16052,AUT,20213
16305,AUT,20193
16770,AUT,21154
17362,AUT,22135
17210,AUT,22073
17891,AUT,23317
18019,AUT,23856
17855,AUT,23785
18021,AUT,24206
18488,AUT,24957
18361,AUT,25035
18781,AUT,25578
19626,AUT,26148
20468,AUT,26550
21853,AUT,27315
23223,AUT,28365
24175,AUT,29292
25456,AUT,29999
26127,AUT,30292
26424,AUT,30202
27796,AUT,30808
28938,AUT,31582
29266,AUT,32296
31019,AUT,32971
32638,AUT,34107
33821,AUT,35263
35714,AUT,36363
34946,AUT,36713
35923,AUT,37138
35820,AUT,37237
36845,AUT,38008
37653,AUT,38558
39100,AUT,39653
40418,AUT,40956
40828,AUT,41460
40055,AUT,39781
40500,AUT,40450
41446,AUT,41446
43052,AUT,41565
43175,AUT,41375
44894,AUT,41338
44845,AUT,41294
45010,AUT,41445
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
8818,AZE,8842
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
,AZE,
8939,AZE,8964
9345,AZE,9371
9769,AZE,9797
9992,AZE,10020
10430,AZE,10459
10677,AZE,10707
10808,AZE,10838
11222,AZE,11253
11636,AZE,11669
10505,AZE,10534
9224,AZE,9250
13196,AZE,9060
9160,AZE,6906
5163,AZE,5229
4014,AZE,4140
2427,AZE,3557
2322,AZE,3608
2243,AZE,3887
2170,AZE,4079
2389,AZE,4500
2576,AZE,4739
2770,AZE,5005
2906,AZE,5372
3084,AZE,5890
3305,AZE,6434
4806,AZE,8053
6827,AZE,10717
9354,AZE,13253
10216,AZE,14530
10804,AZE,15716
